GEO_ID,NAME,B03003_003E
12001,"Alachua County, Florida",26242
12003,"Baker County, Florida",721
12005,"Bay County, Florida",11815
12007,"Bradford County, Florida",1137
12009,"Brevard County, Florida",60266
12011,"Broward County, Florida",574289
12013,"Calhoun County, Florida",826
12015,"Charlotte County, Florida",13189
12017,"Citrus County, Florida",8263
12019,"Clay County, Florida",21002
12021,"Collier County, Florida",103692
12023,"Columbia County, Florida",4407
12027,"DeSoto County, Florida",11649
12029,"Dixie County, Florida",674
12031,"Duval County, Florida",91153
12033,"Escambia County, Florida",17808
12035,"Flagler County, Florida",11448
12037,"Franklin County, Florida",644
12039,"Gadsden County, Florida",4778
12041,"Gilchrist County, Florida",1049
12043,"Glades County, Florida",2873
12045,"Gulf County, Florida",687
12047,"Hamilton County, Florida",1351
12049,"Hardee County, Florida",11828
12051,"Hendry County, Florida",21888
12053,"Hernando County, Florida",25178
12055,"Highlands County, Florida",20775
12057,"Hillsborough County, Florida",407736
12059,"Holmes County, Florida",546
12061,"Indian River County, Florida",19063
12063,"Jackson County, Florida",2328
12065,"Jefferson County, Florida",584
12067,"Lafayette County, Florida",1360
12069,"Lake County, Florida",53938
12071,"Lee County, Florida",157681
12073,"Leon County, Florida",18570
12075,"Levy County, Florida",3388
12077,"Liberty County, Florida",392
12079,"Madison County, Florida",1018
12081,"Manatee County, Florida",63038
12083,"Marion County, Florida",46675
12085,"Martin County, Florida",21667
12086,"Miami-Dade County, Florida",1848925
12087,"Monroe County, Florida",18439
12089,"Nassau County, Florida",3579
12091,"Okaloosa County, Florida",18873
12093,"Okeechobee County, Florida",10497
12095,"Orange County, Florida",427125
12097,"Osceola County, Florida",190439
12099,"Palm Beach County, Florida",327940
12101,"Pasco County, Florida",79843
12103,"Pinellas County, Florida",93587
12105,"Polk County, Florida",154628
12107,"Putnam County, Florida",7319
12109,"St. Johns County, Florida",17012
12111,"St. Lucie County, Florida",59355
12113,"Santa Rosa County, Florida",9730
12115,"Sarasota County, Florida",38526
12117,"Seminole County, Florida",98697
12119,"Sumter County, Florida",7178
12121,"Suwannee County, Florida",4103
12123,"Taylor County, Florida",1410
12125,"Union County, Florida",862
12127,"Volusia County, Florida",74629
12129,"Wakulla County, Florida",1205
12131,"Walton County, Florida",4252
12133,"Washington County, Florida",915