YEAR,STATE,RATE,DEATHS,URL
2019,AL,22.2,1076,/nchs/pressroom/states/alabama/al.htm
2019,AK,24.4,179,/nchs/pressroom/states/alaska/ak.htm
2019,AZ,15.1,1136,/nchs/pressroom/states/arizona/az.htm
2019,AR,19.3,580,/nchs/pressroom/states/arkansas/ar.htm
2019,CA,7.2,2945,/nchs/pressroom/states/california/ca.htm
2019,CO,14.2,846,/nchs/pressroom/states/colorado/co.htm
2019,CT,5.3,190,/nchs/pressroom/states/connecticut/ct.htm
2019,DE,9.9,93,/nchs/pressroom/states/delaware/de.htm
2019,FL,12.7,2872,/nchs/pressroom/states/florida/fl.htm
2019,GA,15.8,1695,/nchs/pressroom/states/georgia/ga.htm
2019,HI,4.4,62,/nchs/pressroom/states/hawaii/hi.htm
2019,ID,14.2,255,/nchs/pressroom/states/idaho/id.htm
2019,IL,10.8,1367,/nchs/pressroom/states/illinois/il.htm
2019,IN,14.1,958,/nchs/pressroom/states/indiana/in.htm
2019,IA,9.1,294,/nchs/pressroom/states/iowa/ia.htm
2019,KS,13.7,403,/nchs/pressroom/states/kansas/ks.htm
2019,KY,14.9,682,/nchs/pressroom/states/kentucky/ky.htm
2019,LA,22.1,1013,/nchs/pressroom/states/louisiana/la.htm
2019,ME,11.5,163,/nchs/pressroom/states/maine/me.htm
2019,MD,12.6,757,/nchs/pressroom/states/maryland/md.htm
2019,MA,3.4,247,/nchs/pressroom/states/massachusetts/ma.htm
2019,MI,12.1,1220,/nchs/pressroom/states/michigan/mi.htm
2019,MN,8.1,465,/nchs/pressroom/states/minnesota/mn.htm
2019,MS,24.2,710,/nchs/pressroom/states/mississippi/ms.htm
2019,MO,20.6,1252,/nchs/pressroom/states/missouri/mo.htm
2019,MT,19,209,/nchs/pressroom/states/montana/mt.htm
2019,NE,10.4,205,/nchs/pressroom/states/nebraska/ne.htm
2019,NV,15.3,490,/nchs/pressroom/states/nevada/nv.htm
2019,NH,10.7,156,/nchs/pressroom/states/newhampshire/nh.htm
2019,NJ,4.1,368,/nchs/pressroom/states/newjersey/nj.htm
2019,NM,22.3,471,/nchs/pressroom/states/newmexico/nm.htm
2019,NY,3.9,804,/nchs/pressroom/states/newyork/ny.htm
2019,NC,13.1,1397,/nchs/pressroom/states/northcarolina/nc.htm
2019,ND,12.4,93,/nchs/pressroom/states/northdakota/nd.htm
2019,OH,13.3,1578,/nchs/pressroom/states/ohio/oh.htm
2019,OK,18.6,737,/nchs/pressroom/states/oklahoma/ok.htm
2019,OR,12.6,566,/nchs/pressroom/states/oregon/or.htm
2019,PA,11.7,1541,/nchs/pressroom/states/pennsylvania/pa.htm
2019,RI,4.6,48,/nchs/pressroom/states/rhodeisland/ri.htm
2019,SC,19.9,1012,/nchs/pressroom/states/southcarolina/sc.htm
2019,SD,13.1,113,/nchs/pressroom/states/southdakota/sd.htm
2019,TN,18.4,1270,/nchs/pressroom/states/tennessee/tn.htm
2019,TX,12.7,3683,/nchs/pressroom/states/texas/tx.htm
2019,UT,12.8,394,/nchs/pressroom/states/utah/ut.htm
2019,VT,9.3,67,/nchs/pressroom/states/vermont/vt.htm
2019,VA,11.7,1025,/nchs/pressroom/states/virginia/va.htm
2019,WA,10.7,842,/nchs/pressroom/states/washington/wa.htm
2019,WV,16.6,300,/nchs/pressroom/states/westvirginia/wv.htm
2019,WI,10,604,/nchs/pressroom/states/wisconsin/wi.htm
2019,WY,22.3,133,/nchs/pressroom/states/wyoming/wy.htm